DeviceID,BayID,FromDay1,StartTime1,ToDay1,EndTime1,Exemption1,Description1,EffectiveOnPH1,TypeDesc1,Duration1,DisabilityExt1,FromDay2,StartTime2,ToDay2,EndTime2,Exemption2,Description2,TypeDesc2,Duration2,DisabilityExt2,EffectiveOnPH2,FromDay3,StartTime3,ToDay3,EndTime3,Exemption3,Description3,TypeDesc3,Duration3,DisabilityExt3,EffectiveOnPH3,FromDay4,StartTime4,ToDay4,EndTime4,Exemption4,Description4,TypeDesc4,Duration4,DisabilityExt4,EffectiveOnPH4,FromDay5,StartTime5,ToDay5,EndTime5,Exemption5,Description5,TypeDesc5,Duration5,DisabilityExt5,EffectiveOnPH5,FromDay6,StartTime6,ToDay6,EndTime6,Exemption6,Description6,TypeDesc6,Duration6,DisabilityExt6,EffectiveOnPH6
18993,2352,1,9:30:00,5,18:30:00,,1P MTR M-F 9:30-18:30,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18994,2353,1,7:30:00,5,16:00:00,,1P MTR M-F 7:30-16:00,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR SAT 7.30-6.30PM,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18995,2354,1,7:30:00,5,16:00:00,,1P MTR M-F 7:30-16:00,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18996,2355,1,7:30:00,5,16:00:00,,1P MTR M-F 7:30-16:00,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR SAT 7.30-6.30PM,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18997,2356,1,7:30:00,5,16:00:00,,1P MTR M-F 7:30-16:00,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18998,2357,1,9:30:00,5,18:30:00,,1P MTR M-F 9:30-18:30,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18999,2358,1,9:30:00,5,18:30:00,,1P MTR M-F 9:30-18:30,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19000,2359,1,18:30:00,5,23:59:00,,2P DIS AOT 18:30-23:59,1,2P Disabled Only,120,0,6,0:00:00,0,23:59:00,,2P DIS AOT 0:00-23:59,2P Disabled Only,120,0,1,1,0:00:00,5,16:00:00,,2P DIS AOT 00:00-16:00,2P Disabled Only,120,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19001,2360,1,9:30:00,5,18:30:00,,1P MTR M-F 9:30-18:30,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19002,2361,1,9:30:00,5,18:30:00,,1P MTR M-F 9:30-18:30,0,1P Meter,60,120,1,18:30:00,6,20:30:00,,2P MTR M-SAT 18.30 - 20.30,2P,120,240,0,6,7:30:00,6,18:30:00,,1P MTR Sat 7.30am to 6.30pm,1P Meter,60,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
