bay_id,st_marker_id,status,location,lat,lon
4364,C7162,Unoccupied,"(-37.807183763255608, 144.95370856309313)",-37.807183763255608,144.95370856309313
4365,C7164,Unoccupied,"(-37.807196918883065, 144.95368148624112)",-37.807196918883065,144.95368148624112
4366,C7166,Unoccupied,"(-37.807210146182356, 144.95365455052507)",-37.807210146182356,144.95365455052507
4367,C7168,Present,"(-37.807223156835285, 144.9536270289633)",-37.807223156835285,144.9536270289633
4368,C7170,Unoccupied,"(-37.807236420019265, 144.95359952121009)",-37.807236420019265,144.95359952121009
4370,C7174,Present,"(-37.807411649561416, 144.95321721951882)",-37.807411649561416,144.95321721951882
4374,C7182,Present,"(-37.807465483850201, 144.95310709382542)",-37.807465483850201,144.95310709382542
4375,C7184,Present,"(-37.807490793637953, 144.95305411541807)",-37.807490793637953,144.95305411541807
4376,C7186,Present,"(-37.807502610171071, 144.95302841343579)",-37.807502610171071,144.95302841343579
4377,C7188,Present,"(-37.807515411486392, 144.95300323360823)",-37.807515411486392,144.95300323360823
4379,C7192,Unoccupied,"(-37.807540028728504, 144.95295413191241)",-37.807540028728504,144.95295413191241
4381,C7196,Unoccupied,"(-37.807565774132101, 144.95290109646999)",-37.807565774132101,144.95290109646999
4382,C7198,Unoccupied,"(-37.807592867068919, 144.95284653818254)",-37.807592867068919,144.95284653818254
4384,C7202,Unoccupied,"(-37.807616689778101, 144.95279783088938)",-37.807616689778101,144.95279783088938
4385,C7204,Unoccupied,"(-37.807628473671116, 144.95277345048117)",-37.807628473671116,144.95277345048117
4355,C7140,Present,"(-37.808449064803398, 144.95263577788705)",-37.808449064803398,144.95263577788705
4371,C7176,Unoccupied,"(-37.807425262413197, 144.95318925396748)",-37.807425262413197,144.95318925396748
4372,C7178,Unoccupied,"(-37.807439030945744, 144.95316164063192)",-37.807439030945744,144.95316164063192
4378,C7190,Unoccupied,"(-37.807527149480812, 144.95297821545023)",-37.807527149480812,144.95297821545023
4380,C7194,Present,"(-37.807552882822975, 144.95292714762365)",-37.807552882822975,144.95292714762365
4359,C7152,Present,"(-37.807107897022675, 144.95386534524917)",-37.807107897022675,144.95386534524917
4386,C7206,Present,"(-37.807640290152463, 144.95274920647637)",-37.807640290152463,144.95274920647637
4388,C7210,Present,"(-37.807679602749012, 144.95266838877768)",-37.807679602749012,144.95266838877768
4389,C7212,Present,"(-37.807691551942071, 144.95264366404757)",-37.807691551942071,144.95264366404757
4391,C7216,Present,"(-37.807715327604946, 144.95259496874846)",-37.807715327604946,144.95259496874846
4392,C7218,Present,"(-37.807727308577071, 144.95257016069814)",-37.807727308577071,144.95257016069814
4393,C7220,Present,"(-37.807739423159035, 144.95254534281563)",-37.807739423159035,144.95254534281563
4395,C7224,Present,"(-37.80780366262956, 144.95241428165625)",-37.80780366262956,144.95241428165625
4397,C7228,Unoccupied,"(-37.807830446994359, 144.95235968727638)",-37.807830446994359,144.95235968727638
4398,C7230,Unoccupied,"(-37.807843267739074, 144.95233223163189)",-37.807843267739074,144.95233223163189
4399,C7232,Present,"(-37.807856213728826, 144.95230550364886)",-37.807856213728826,144.95230550364886
4400,C7234,Unoccupied,"(-37.807887070735298, 144.9522452384669)",-37.807887070735298,144.9522452384669
4401,C7236,Unoccupied,"(-37.807899142238256, 144.95222115038951)",-37.807899142238256,144.95222115038951
4402,C7238,Unoccupied,"(-37.807911195139837, 144.95219625466677)",-37.807911195139837,144.95219625466677
928,C724,Present,"(-37.813625667949864, 144.96847609585919)",-37.813625667949864,144.96847609585919
4403,C7240,Present,"(-37.807923853698512, 144.9521703773662)",-37.807923853698512,144.9521703773662
4404,C7242,Unoccupied,"(-37.807937112382405, 144.95214292833225)",-37.807937112382405,144.95214292833225
4406,C7246,Present,"(-37.807964516488497, 144.95208594425154)",-37.807964516488497,144.95208594425154
930,C728,Present,"(-37.813554242257297, 144.96844303198114)",-37.813554242257297,144.96844303198114
4407,C7394,Unoccupied,"(-37.807431663035821, 144.96844541734637)",-37.807431663035821,144.96844541734637
4408,C7396,Unoccupied,"(-37.80745196286307, 144.96845573245071)",-37.80745196286307,144.96845573245071
4409,C7398,Unoccupied,"(-37.807473651176991, 144.96846553046061)",-37.807473651176991,144.96846553046061
4410,C7400,Present,"(-37.80749520158696, 144.96847527461159)",-37.80749520158696,144.96847527461159
4411,C7402,Unoccupied,"(-37.807517051721831, 144.96848563271374)",-37.807517051721831,144.96848563271374
4412,C7404,Unoccupied,"(-37.807538781399636, 144.96849567305091)",-37.807538781399636,144.96849567305091
4413,C7406,Unoccupied,"(-37.807560864583387, 144.96850583464851)",-37.807560864583387,144.96850583464851
4387,C7208,Unoccupied,"(-37.807653265835995, 144.95272326541146)",-37.807653265835995,144.95272326541146
927,C722,Unoccupied,"(-37.813647594300079, 144.96848653244973)",-37.813647594300079,144.96848653244973
4390,C7214,Present,"(-37.807703473283112, 144.95261920701108)",-37.807703473283112,144.95261920701108
932,C736,Present,"(-37.813509505317256, 144.96842257963863)",-37.813509505317256,144.96842257963863
4394,C7222,Unoccupied,"(-37.807790026956077, 144.95244247314639)",-37.807790026956077,144.95244247314639
4405,C7244,Unoccupied,"(-37.807950638485266, 144.95211480537529)",-37.807950638485266,144.95211480537529
4416,C7412,Unoccupied,"(-37.807625563708044, 144.96853590410456)",-37.807625563708044,144.96853590410456
4418,C7416,Unoccupied,"(-37.807670871763271, 144.96855612970285)",-37.807670871763271,144.96855612970285
934,C744,Present,"(-37.813437738980255, 144.9683893119485)",-37.813437738980255,144.9683893119485
935,C748,Present,"(-37.813413817062028, 144.96837839352699)",-37.813413817062028,144.96837839352699
936,C752,Present,"(-37.813390759386948, 144.96836746540072)",-37.813390759386948,144.96836746540072
938,C758,Present,"(-37.813318684284411, 144.96833433329721)",-37.813318684284411,144.96833433329721
940,C762,Present,"(-37.813272484111877, 144.96831336834134)",-37.813272484111877,144.96831336834134
942,C766,Present,"(-37.813226011115191, 144.96829235118255)",-37.813226011115191,144.96829235118255
4421,C7682,Present,"(-37.803679892637575, 144.95524961584189)",-37.803679892637575,144.95524961584189
4422,C7684,Unoccupied,"(-37.803676562323503, 144.95521963139782)",-37.803676562323503,144.95521963139782
4423,C7686,Present,"(-37.803672970632235, 144.9551874065499)",-37.803672970632235,144.9551874065499
4424,C7688,Unoccupied,"(-37.803669427771737, 144.95515576142054)",-37.803669427771737,144.95515576142054
4426,C7692,Present,"(-37.803659260741043, 144.95506103034228)",-37.803659260741043,144.95506103034228
4428,C7696,Present,"(-37.803637247294702, 144.95486888204277)",-37.803637247294702,144.95486888204277
4429,C7698,Unoccupied,"(-37.803633829688678, 144.95483800385233)",-37.803633829688678,144.95483800385233
4431,C7702,Unoccupied,"(-37.803627240004971, 144.95477702656208)",-37.803627240004971,144.95477702656208
4432,C7704,Unoccupied,"(-37.803623908666893, 144.95474675701865)",-37.803623908666893,144.95474675701865
4433,C7706,Unoccupied,"(-37.803620577311143, 144.95471630009345)",-37.803620577311143,144.95471630009345
4434,C7708,Unoccupied,"(-37.803613452122008, 144.95465325184682)",-37.803613452122008,144.95465325184682
4435,C7710,Unoccupied,"(-37.803597242540533, 144.95451100833952)",-37.803597242540533,144.95451100833952
4436,C7712,Present,"(-37.803593967169164, 144.95448180069809)",-37.803593967169164,144.95448180069809
4439,C7718,Unoccupied,"(-37.803579321094816, 144.95434532543749)",-37.803579321094816,144.95434532543749
4440,C7726,Present,"(-37.803291227074268, 144.95175998391886)",-37.803291227074268,144.95175998391886
4441,C7728,Unoccupied,"(-37.803185497092144, 144.95081242430993)",-37.803185497092144,144.95081242430993
4442,C7730,Unoccupied,"(-37.8031822777032, 144.95078384782357)",-37.8031822777032,144.95078384782357
4438,C7716,Present,"(-37.803583081925126, 144.95437944373037)",-37.803583081925126,144.95437944373037
4427,C7694,Present,"(-37.803656112159793, 144.95503223621444)",-37.803656112159793,144.95503223621444
4430,C7700,Present,"(-37.803630539814364, 144.95480704927257)",-37.803630539814364,144.95480704927257
4415,C7410,Unoccupied,"(-37.807605290482641, 144.96852604867371)",-37.807605290482641,144.96852604867371
4417,C7414,Unoccupied,"(-37.807647709911919, 144.96854622824497)",-37.807647709911919,144.96854622824497
4437,C7714,Unoccupied,"(-37.803587024339549, 144.95441363030352)",-37.803587024339549,144.95441363030352
4443,C7732,Present,"(-37.803178971003121, 144.95075491862508)",-37.803178971003121,144.95075491862508
4445,C7736,Present,"(-37.803147336934487, 144.9504667043922)",-37.803147336934487,144.9504667043922
4446,C7738,Unoccupied,"(-37.803144221163834, 144.95043880482118)",-37.803144221163834,144.95043880482118
4450,C7746,Unoccupied,"(-37.803124138357575, 144.95025691602433)",-37.803124138357575,144.95025691602433
944,C782,Present,"(-37.811646646848253, 144.96756890123999)",-37.811646646848253,144.96756890123999
946,C790,Present,"(-37.811575005969033, 144.96753537823071)",-37.811575005969033,144.96753537823071
5176,C8004,Present,"(-37.810433930657183, 144.95260539609956)",-37.810433930657183,144.95260539609956
5177,C8006,Present,"(-37.810442609301951, 144.95257476034925)",-37.810442609301951,144.95257476034925
5183,C8018,Present,"(-37.810512238100856, 144.95232317946298)",-37.810512238100856,144.95232317946298
949,C802,Present,"(-37.811402191535748, 144.9674551787673)",-37.811402191535748,144.9674551787673
5184,C8020,Present,"(-37.81051993219301, 144.95229520205658)",-37.81051993219301,144.95229520205658
5185,C8022,Present,"(-37.81052791977487, 144.95226792476717)",-37.81052791977487,144.95226792476717
5186,C8024,Present,"(-37.810535709392674, 144.95224075796597)",-37.810535709392674,144.95224075796597
5187,C8026,Present,"(-37.810543386878393, 144.95221355796079)",-37.810543386878393,144.95221355796079
5188,C8028,Unoccupied,"(-37.810551438125842, 144.95218598526026)",-37.810551438125842,144.95218598526026
5190,C8032,Present,"(-37.810567499862131, 144.95212975790815)",-37.810567499862131,144.95212975790815
947,C794,Present,"(-37.81147339393322, 144.96748761586491)",-37.81147339393322,144.96748761586491
5189,C8030,Present,"(-37.810559556917752, 144.95215778571463)",-37.810559556917752,144.95215778571463
4453,C7752,Present,"(-37.803113587582743, 144.95016227361771)",-37.803113587582743,144.95016227361771
4454,C7754,Present,"(-37.803110199680013, 144.95013147762978)",-37.803110199680013,144.95013147762978
4444,C7734,Unoccupied,"(-37.803175796869631, 144.95072651471946)",-37.803175796869631,144.95072651471946
4447,C7740,Unoccupied,"(-37.803141055474427, 144.95041088879219)",-37.803141055474427,144.95041088879219
5179,C8010,Unoccupied,"(-37.810460132885879, 144.95251201093384)",-37.810460132885879,144.95251201093384
5178,C8008,Present,"(-37.810451355421478, 144.95254327518887)",-37.810451355421478,144.95254327518887
5182,C8016,Unoccupied,"(-37.810504740257521, 144.95234952362313)",-37.810504740257521,144.95234952362313
4449,C7744,Present,"(-37.803127601566693, 144.9502882328853)",-37.803127601566693,144.9502882328853
4451,C7748,Unoccupied,"(-37.803120631941681, 144.95022532004251)",-37.803120631941681,144.95022532004251
4457,C7760,Unoccupied,"(-37.803086837901766, 144.94992572633006)",-37.803086837901766,144.94992572633006
948,C798,Present,"(-37.811427277951069, 144.96746649352457)",-37.811427277951069,144.96746649352457
945,C786,Present,"(-37.811620602170734, 144.96755679939855)",-37.811620602170734,144.96755679939855
5191,C8034,Unoccupied,"(-37.810575354013444, 144.95210147247849)",-37.810575354013444,144.95210147247849
5192,C8036,Present,"(-37.810583480407487, 144.95207410356346)",-37.810583480407487,144.95207410356346
5195,C8042,Unoccupied,"(-37.810606959994679, 144.95199175863007)",-37.810606959994679,144.95199175863007
5196,C8044,Unoccupied,"(-37.810614692221961, 144.95196448585835)",-37.810614692221961,144.95196448585835
5197,C8046,Unoccupied,"(-37.810622788011301, 144.95193647404375)",-37.810622788011301,144.95193647404375
5198,C8048,Unoccupied,"(-37.81063070412818, 144.95190816969105)",-37.81063070412818,144.95190816969105
5199,C8050,Unoccupied,"(-37.810638708172675, 144.95188084823965)",-37.810638708172675,144.95188084823965
5200,C8052,Unoccupied,"(-37.810646549102444, 144.95185230973118)",-37.810646549102444,144.95185230973118
5201,C8054,Present,"(-37.810691360506738, 144.95168821641255)",-37.810691360506738,144.95168821641255
5202,C8056,Present,"(-37.810699892186662, 144.95165903276717)",-37.810699892186662,144.95165903276717
5204,C8060,Unoccupied,"(-37.810716637287427, 144.95159874163983)",-37.810716637287427,144.95159874163983
5205,C8062,Present,"(-37.810725015379745, 144.95156862327372)",-37.810725015379745,144.95156862327372
5206,C8064,Present,"(-37.810733398894541, 144.95153894563092)",-37.810733398894541,144.95153894563092
5207,C8066,Present,"(-37.810762607732997, 144.95143376569078)",-37.810762607732997,144.95143376569078
5209,C8070,Present,"(-37.810779654686648, 144.95137330320478)",-37.810779654686648,144.95137330320478
5210,C8072,Unoccupied,"(-37.810787459656851, 144.95134553666884)",-37.810787459656851,144.95134553666884
5211,C8074,Unoccupied,"(-37.810795811705937, 144.95131565562707)",-37.810795811705937,144.95131565562707
952,C814,Present,"(-37.811331402387403, 144.96742326747005)",-37.811331402387403,144.96742326747005
957,C828,Present,"(-37.811185586791858, 144.96735752085732)",-37.811185586791858,144.96735752085732
958,C830,Present,"(-37.811162126987504, 144.96734698597572)",-37.811162126987504,144.96734698597572
959,C842,Unoccupied,"(-37.810394582590469, 144.96699569971969)",-37.810394582590469,144.96699569971969
960,C846,Unoccupied,"(-37.810372009070271, 144.96698514016487)",-37.810372009070271,144.96698514016487
962,C854,Unoccupied,"(-37.810326475915453, 144.9669641750657)",-37.810326475915453,144.9669641750657
963,C858,Unoccupied,"(-37.810303282357822, 144.96695361681401)",-37.810303282357822,144.96695361681401
964,C862,Unoccupied,"(-37.810279621031526, 144.96694271855193)",-37.810279621031526,144.96694271855193
965,C866,Unoccupied,"(-37.810255794283812, 144.96693203264303)",-37.810255794283812,144.96693203264303
5193,C8038,Present,"(-37.810591166778636, 144.95204636482813)",-37.810591166778636,144.95204636482813
5194,C8040,Unoccupied,"(-37.810599029433675, 144.95201885107411)",-37.810599029433675,144.95201885107411
954,C822,Unoccupied,"(-37.811258002576139, 144.96739021184169)",-37.811258002576139,144.96739021184169
950,C806,Unoccupied,"(-37.811378501439229, 144.96744460486889)",-37.811378501439229,144.96744460486889
953,C818,Present,"(-37.811307899322628, 144.96741278845104)",-37.811307899322628,144.96741278845104
966,C870,Unoccupied,"(-37.810233221218802, 144.96692160039527)",-37.810233221218802,144.96692160039527
967,C874,Unoccupied,"(-37.810210390575264, 144.96691113486648)",-37.810210390575264,144.96691113486648
968,C878,Unoccupied,"(-37.81018768761335, 144.96690063650638)",-37.81018768761335,144.96690063650638
970,C886,Unoccupied,"(-37.810140833149831, 144.96687918006938)",-37.810140833149831,144.96687918006938
971,C890,Unoccupied,"(-37.810117565586999, 144.9668684860913)",-37.810117565586999,144.9668684860913
5890,C9000,Unoccupied,"(-37.802850156834225, 144.96684140881558)",-37.802850156834225,144.96684140881558
5891,C9004,Unoccupied,"(-37.802853371330258, 144.96687157857787)",-37.802853371330258,144.96687157857787
5892,C9008,Unoccupied,"(-37.802856863989, 144.96690282279195)",-37.802856863989,144.96690282279195
5893,C9012,Unoccupied,"(-37.802860295339897, 144.96693455793621)",-37.802860295339897,144.96693455793621
5894,C9016,Unoccupied,"(-37.80286780038707, 144.9669989421372)",-37.80286780038707,144.9669989421372
5895,C9020,Unoccupied,"(-37.802871226351215, 144.96703059072917)",-37.802871226351215,144.96703059072917
5896,C9024,Unoccupied,"(-37.802874707789044, 144.96706224045954)",-37.802874707789044,144.96706224045954
5897,C9028,Unoccupied,"(-37.802878198452561, 144.96709369200875)",-37.802878198452561,144.96709369200875
5898,C9032,Unoccupied,"(-37.80288161521689, 144.96712469574859)",-37.80288161521689,144.96712469574859
5899,C9036,Unoccupied,"(-37.802885124468339, 144.96715665179215)",-37.802885124468339,144.96715665179215
5900,C9040,Unoccupied,"(-37.802892032683545, 144.96722101940753)",-37.802892032683545,144.96722101940753
5902,C9044,Unoccupied,"(-37.802895118051381, 144.96725132463808)",-37.802895118051381,144.96725132463808
5911,C9048,Unoccupied,"(-37.802909697064166, 144.96738461756206)",-37.802909697064166,144.96738461756206
5903,C9052,Unoccupied,"(-37.802916823503772, 144.96744835990307)",-37.802916823503772,144.96744835990307
5904,C9056,Unoccupied,"(-37.802920220527056, 144.96747881921158)",-37.802920220527056,144.96747881921158
5905,C9060,Unoccupied,"(-37.802923554829214, 144.96750918116379)",-37.802923554829214,144.96750918116379
5906,C9064,Unoccupied,"(-37.802926938677317, 144.96754111754325)",-37.802926938677317,144.96754111754325
5907,C9068,Unoccupied,"(-37.802930395955137, 144.96757279969495)",-37.802930395955137,144.96757279969495
5908,C9072,Unoccupied,"(-37.802933972594673, 144.96760513241395)",-37.802933972594673,144.96760513241395
5909,C9076,Unoccupied,"(-37.802941049551805, 144.96767075094488)",-37.802941049551805,144.96767075094488
5910,C9080,Unoccupied,"(-37.802944515561109, 144.9677020073953)",-37.802944515561109,144.9677020073953
5929,C9084,Unoccupied,"(-37.802948054979638, 144.96773367426169)",-37.802948054979638,144.96773367426169
5912,C9088,Unoccupied,"(-37.802951712475192, 144.96776638521544)",-37.802951712475192,144.96776638521544
5850,C9102,Present,"(-37.798385121761129, 144.96462013420597)",-37.798385121761129,144.96462013420597
5851,C9106,Present,"(-37.798388366584717, 144.96465074893928)",-37.798388366584717,144.96465074893928
5852,C9110,Present,"(-37.798391595394008, 144.96468217307662)",-37.798391595394008,144.96468217307662
5855,C9122,Present,"(-37.798401576752617, 144.96477429976787)",-37.798401576752617,144.96477429976787
5854,C9118,Present,"(-37.798398266492967, 144.96474338289073)",-37.798398266492967,144.96474338289073
5861,C9126,Present,"(-37.798404910146964, 144.96480507905949)",-37.798404910146964,144.96480507905949
5857,C9130,Present,"(-37.798408234366207, 144.96483573186958)",-37.798408234366207,144.96483573186958
5859,C9138,Unoccupied,"(-37.798414782588168, 144.96489631552299)",-37.798414782588168,144.96489631552299
5860,C9142,Present,"(-37.798419894146008, 144.96495715641069)",-37.798419894146008,144.96495715641069
5856,C9146,Unoccupied,"(-37.798423286990165, 144.96498829840306)",-37.798423286990165,144.96498829840306
5862,C9150,Unoccupied,"(-37.798426601898782, 144.96501913015373)",-37.798426601898782,144.96501913015373
5863,C9154,Present,"(-37.798429868753118, 144.96505008080348)",-37.798429868753118,144.96505008080348
5866,C9166,Unoccupied,"(-37.79844469920576, 144.96517906410656)",-37.79844469920576,144.96517906410656
5867,C9170,Present,"(-37.798448191226683, 144.9652119196279)",-37.798448191226683,144.9652119196279
5873,C9194,Unoccupied,"(-37.798476600020422, 144.96545956325636)",-37.798476600020422,144.96545956325636
5874,C9198,Present,"(-37.798479954557422, 144.96549079019701)",-37.798479954557422,144.96549079019701
5875,C9202,Present,"(-37.798483254946902, 144.96552576012181)",-37.798483254946902,144.96552576012181
1171,C986,Present,"(-37.818548142463172, 144.9623298217665)",-37.818548142463172,144.9623298217665
1172,C988,Present,"(-37.8185269419495, 144.96231965456715)",-37.8185269419495,144.96231965456715
1173,C992,Present,"(-37.818505199052133, 144.96231005907774)",-37.818505199052133,144.96231005907774
1174,C996,Present,"(-37.818483455253315, 144.96230046361845)",-37.818483455253315,144.96230046361845
670,D1W,Unoccupied,"(-37.813128675627368, 144.97372767217888)",-37.813128675627368,144.97372767217888
671,D3W,Unoccupied,"(-37.813081785076548, 144.97370629288361)",-37.813081785076548,144.97370629288361
672,D5W,Unoccupied,"(-37.813031160164357, 144.97368264255184)",-37.813031160164357,144.97368264255184
673,D7W,Unoccupied,"(-37.809188113869709, 144.97192043651535)",-37.809188113869709,144.97192043651535
674,D9W,Unoccupied,"(-37.809137736130566, 144.97189716212301)",-37.809137736130566,144.97189716212301
6059,13040N,Unoccupied,"(-37.821126564855007, 144.94372289813629)",-37.821126564855007,144.94372289813629
5094,9892N,Unoccupied,"(-37.825481239591461, 144.96887022004739)",-37.825481239591461,144.96887022004739
5387,11740E,Present,"(-37.810315248358002, 144.97565693404488)",-37.810315248358002,144.97565693404488
5531,11995W,Unoccupied,"(-37.813912676860738, 144.98283744856852)",-37.813912676860738,144.98283744856852
5666,12330N,Unoccupied,"(-37.809832407328059, 144.9789595940978)",-37.809832407328059,144.9789595940978
5644,12283S,Unoccupied,"(-37.809754649726827, 144.97687328242495)",-37.809754649726827,144.97687328242495
5865,C9162,Present,"(-37.798441207175756, 144.96514620858875)",-37.798441207175756,144.96514620858875
5858,C9134,Unoccupied,"(-37.798411446406071, 144.96486608778878)",-37.798411446406071,144.96486608778878
5870,C9182,Unoccupied,"(-37.798462310417335, 144.96533611011742)",-37.798462310417335,144.96533611011742
5868,C9174,Unoccupied,"(-37.798455611565785, 144.96527477360505)",-37.798455611565785,144.96527477360505
5871,C9186,Unoccupied,"(-37.798465644474192, 144.96536752800725)",-37.798465644474192,144.96536752800725
6543,13747W,Present,"(-37.813487348391092, 144.93926969679671)",-37.813487348391092,144.93926969679671
6615,13859S,Unoccupied,"(-37.813955748849992, 144.94198316332876)",-37.813955748849992,144.94198316332876
604,53W,Present,"(-37.810988491329013, 144.97277751464858)",-37.810988491329013,144.97277751464858
4121,C6404,Unoccupied,"(-37.803703248807828, 144.95101469877937)",-37.803703248807828,144.95101469877937
2641,10115W,Present,"(-37.80336265167589, 144.94794423530294)",-37.80336265167589,144.94794423530294
2647,10121W,Present,"(-37.803204315931595, 144.94797216601955)",-37.803204315931595,144.94797216601955
2680,10189W,Present,"(-37.803827477736363, 144.94938864699947)",-37.803827477736363,144.94938864699947
5368,11710E,Unoccupied,"(-37.810317303010791, 144.97294097993785)",-37.810317303010791,144.97294097993785
5414,11788E,Unoccupied,"(-37.810970808993602, 144.97558487670682)",-37.810970808993602,144.97558487670682
5428,11808E,Present,"(-37.813953865566333, 144.97774883036664)",-37.813953865566333,144.97774883036664
5449,11850E,Present,"(-37.812759880264899, 144.97794717841444)",-37.812759880264899,144.97794717841444
683,334E,Present,"(-37.814386018445823, 144.97175525771968)",-37.814386018445823,144.97175525771968
5080,9866N,Unoccupied,"(-37.825249705639052, 144.96966235448235)",-37.825249705639052,144.96966235448235
5671,12340N,Unoccupied,"(-37.809892013208483, 144.97950033047545)",-37.809892013208483,144.97950033047545
858,675W,Unoccupied,"(-37.814329651223105, 144.96867587587093)",-37.814329651223105,144.96867587587093
1993,3411S,Unoccupied,"(-37.810241476310345, 144.96550134077194)",-37.810241476310345,144.96550134077194
6554,13769W,Present,"(-37.81221301133057, 144.93849728226249)",-37.81221301133057,144.93849728226249
3902,C5716,Present,"(-37.805387175908336, 144.95523593398053)",-37.805387175908336,144.95523593398053
2642,10116E,Present,"(-37.803366312143694, 144.94817756967603)",-37.803366312143694,144.94817756967603
